variable,activitytype,subjectid,average
fBodyAcc-mean()-X,WALKING,24,-0.492419802586207
fBodyAcc-mean()-X,WALKING,25,-0.609038908918919
fBodyAcc-mean()-X,WALKING,26,-0.321959549661017
fBodyAcc-mean()-X,WALKING,27,-0.308702374385965
fBodyAcc-mean()-X,WALKING,28,-0.280062182962963
fBodyAcc-mean()-X,WALKING,29,-0.135819505761321
fBodyAcc-mean()-X,WALKING,30,-0.351402910907692
fBodyAcc-mean()-X,WALKING_DOWNSTAIRS,1,0.0382291831510204
fBodyAcc-mean()-X,WALKING_DOWNSTAIRS,2,0.112841160325532
fBodyAcc-mean()-X,WALKING_DOWNSTAIRS,3,-0.0421706943244898
fBodyAcc-mean()-X,WALKING_DOWNSTAIRS,4,-0.0722392276888889
fBodyAcc-mean()-X,WALKING_DOWNSTAIRS,5,0.0984320090212766
fBodyAcc-mean()-X,WALKING_DOWNSTAIRS,6,0.328308506041667
fBodyAcc-mean()-X,WALKING_DOWNSTAIRS,7,0.0443428315319149
fBodyAcc-mean()-X,WALKING_DOWNSTAIRS,8,0.136590199860526
fBodyAcc-mean()-X,WALKING_DOWNSTAIRS,9,0.103128506197619
fBodyAcc-mean()-X,WALKING_DOWNSTAIRS,10,0.215665273157895
fBodyAcc-mean()-X,WALKING_DOWNSTAIRS,11,0.0351937228130435
fBodyAcc-mean()-X,WALKING_DOWNSTAIRS,12,0.0235049348717391
fBodyAcc-mean()-X,WALKING_DOWNSTAIRS,13,-0.0726602663212766
fBodyAcc-mean()-X,WALKING_DOWNSTAIRS,14,0.0212541553977778
fBodyAcc-mean()-X,WALKING_DOWNSTAIRS,15,0.235309825547619
fBodyAcc-mean()-X,WALKING_DOWNSTAIRS,16,0.0368263528276596
fBodyAcc-mean()-X,WALKING_DOWNSTAIRS,17,-0.0226239171245652
fBodyAcc-mean()-X,WALKING_DOWNSTAIRS,18,-0.350086793272727
fBodyAcc-mean()-X,WALKING_DOWNSTAIRS,19,0.537012022051282
fBodyAcc-mean()-X,WALKING_DOWNSTAIRS,20,-0.0343309987555556
fBodyAcc-mean()-X,WALKING_DOWNSTAIRS,21,0.104323529982222
fBodyAcc-mean()-X,WALKING_DOWNSTAIRS,22,0.195348406222222
fBodyAcc-mean()-X,WALKING_DOWNSTAIRS,23,0.205428216353704
fBodyAcc-mean()-X,WALKING_DOWNSTAIRS,24,-0.222324293454545
fBodyAcc-mean()-X,WALKING_DOWNSTAIRS,25,-0.372245192931034
fBodyAcc-mean()-X,WALKING_DOWNSTAIRS,26,0.022800096142
fBodyAcc-mean()-X,WALKING_DOWNSTAIRS,27,0.0829831545090909
fBodyAcc-mean()-X,WALKING_DOWNSTAIRS,28,0.0890721752173913
fBodyAcc-mean()-X,WALKING_DOWNSTAIRS,29,0.110663200244167
fBodyAcc-mean()-X,WALKING_DOWNSTAIRS,30,-0.106966957087097
fBodyAcc-mean()-X,WALKING_UPSTAIRS,1,-0.404321784150943
fBodyAcc-mean()-X,WALKING_UPSTAIRS,2,-0.266720933270833
fBodyAcc-mean()-X,WALKING_UPSTAIRS,3,-0.392004211474576
fBodyAcc-mean()-X,WALKING_UPSTAIRS,4,-0.294488270365385
fBodyAcc-mean()-X,WALKING_UPSTAIRS,5,-0.161485339978723
fBodyAcc-mean()-X,WALKING_UPSTAIRS,6,-0.131075372803922
fBodyAcc-mean()-X,WALKING_UPSTAIRS,7,-0.336199426470588
fBodyAcc-mean()-X,WALKING_UPSTAIRS,8,-0.166411065387805
fBodyAcc-mean()-X,WALKING_UPSTAIRS,9,-0.342735952653061
fBodyAcc-mean()-X,WALKING_UPSTAIRS,10,-0.139410790617021
fBodyAcc-mean()-X,WALKING_UPSTAIRS,11,-0.355348902222222
fBodyAcc-mean()-X,WALKING_UPSTAIRS,12,-0.321447925192308
fBodyAcc-mean()-X,WALKING_UPSTAIRS,13,-0.382460736363636
fBodyAcc-mean()-X,WALKING_UPSTAIRS,14,-0.323508442240741
fBodyAcc-mean()-X,WALKING_UPSTAIRS,15,-0.0746328434375
fBodyAcc-mean()-X,WALKING_UPSTAIRS,16,-0.474984014705882
fBodyAcc-mean()-X,WALKING_UPSTAIRS,17,-0.1397522212625
fBodyAcc-mean()-X,WALKING_UPSTAIRS,18,-0.465097261896552
fBodyAcc-mean()-X,WALKING_UPSTAIRS,19,-0.15687949467775
fBodyAcc-mean()-X,WALKING_UPSTAIRS,20,-0.140439074776471
fBodyAcc-mean()-X,WALKING_UPSTAIRS,21,-0.319169340234043
fBodyAcc-mean()-X,WALKING_UPSTAIRS,22,-0.0553996485285714
fBodyAcc-mean()-X,WALKING_UPSTAIRS,23,-0.272605689568627
fBodyAcc-mean()-X,WALKING_UPSTAIRS,24,-0.395790553898305
fBodyAcc-mean()-X,WALKING_UPSTAIRS,25,-0.521649838769231
fBodyAcc-mean()-X,WALKING_UPSTAIRS,26,-0.242820756127273
fBodyAcc-mean()-X,WALKING_UPSTAIRS,27,-0.417607401176471
fBodyAcc-mean()-X,WALKING_UPSTAIRS,28,-0.266101343372549
fBodyAcc-mean()-X,WALKING_UPSTAIRS,29,-0.109793480008163
fBodyAcc-mean()-X,WALKING_UPSTAIRS,30,-0.420402828153846
fBodyAcc-mean()-Y,LAYING,1,-0.86706520518
fBodyAcc-mean()-Y,LAYING,2,-0.979800877916667
fBodyAcc-mean()-Y,LAYING,3,-0.961169982903226
fBodyAcc-mean()-Y,LAYING,4,-0.938883374444444
fBodyAcc-mean()-Y,LAYING,5,-0.965419520961538
fBodyAcc-mean()-Y,LAYING,6,-0.923706791403509
fBodyAcc-mean()-Y,LAYING,7,-0.942193953846154
fBodyAcc-mean()-Y,LAYING,8,-0.951816663703704
fBodyAcc-mean()-Y,LAYING,9,-0.9343665984
fBodyAcc-mean()-Y,LAYING,10,-0.954341849137931
fBodyAcc-mean()-Y,LAYING,11,-0.971403935438597
fBodyAcc-mean()-Y,LAYING,12,-0.951265971
fBodyAcc-mean()-Y,LAYING,13,-0.965843757258065
fBodyAcc-mean()-Y,LAYING,14,-0.930366906078431
fBodyAcc-mean()-Y,LAYING,15,-0.962461124305556
fBodyAcc-mean()-Y,LAYING,16,-0.963635575142857
fBodyAcc-mean()-Y,LAYING,17,-0.954648102253521
fBodyAcc-mean()-Y,LAYING,18,-0.984909884615385
fBodyAcc-mean()-Y,LAYING,19,-0.972798824096385
fBodyAcc-mean()-Y,LAYING,20,-0.965595958382353
fBodyAcc-mean()-Y,LAYING,21,-0.960069247
fBodyAcc-mean()-Y,LAYING,22,-0.925524703472222
fBodyAcc-mean()-Y,LAYING,23,-0.982072295833333
fBodyAcc-mean()-Y,LAYING,24,-0.980830362083333
fBodyAcc-mean()-Y,LAYING,25,-0.78494581909589
fBodyAcc-mean()-Y,LAYING,26,-0.983664034342105
fBodyAcc-mean()-Y,LAYING,27,-0.982915951891892
fBodyAcc-mean()-Y,LAYING,28,-0.958436369
fBodyAcc-mean()-Y,LAYING,29,-0.989034304057971
fBodyAcc-mean()-Y,LAYING,30,-0.959974274571429
fBodyAcc-mean()-Y,SITTING,1,-0.944084550425532
fBodyAcc-mean()-Y,SITTING,2,-0.957343498478261
fBodyAcc-mean()-Y,SITTING,3,-0.891907751346154
fBodyAcc-mean()-Y,SITTING,4,-0.9057829318
fBodyAcc-mean()-Y,SITTING,5,-0.921434735681818
fBodyAcc-mean()-Y,SITTING,6,-0.928264365454545
fBodyAcc-mean()-Y,SITTING,7,-0.93149063375
fBodyAcc-mean()-Y,SITTING,8,-0.94421971826087
fBodyAcc-mean()-Y,SITTING,9,-0.911683219
fBodyAcc-mean()-Y,SITTING,10,-0.9404502
fBodyAcc-mean()-Y,SITTING,11,-0.934503182830189
fBodyAcc-mean()-Y,SITTING,12,-0.942768016862745
fBodyAcc-mean()-Y,SITTING,13,-0.959673916122449
fBodyAcc-mean()-Y,SITTING,14,-0.932644766111111
fBodyAcc-mean()-Y,SITTING,15,-0.938926430779661
fBodyAcc-mean()-Y,SITTING,16,-0.961456685507246
fBodyAcc-mean()-Y,SITTING,17,-0.96992798921875
fBodyAcc-mean()-Y,SITTING,18,-0.976538530350877
fBodyAcc-mean()-Y,SITTING,19,-0.960763181917808
fBodyAcc-mean()-Y,SITTING,20,-0.945198619242424
fBodyAcc-mean()-Y,SITTING,21,-0.968060947058824
fBodyAcc-mean()-Y,SITTING,22,-0.939546007903226
fBodyAcc-mean()-Y,SITTING,23,-0.953460406470588
fBodyAcc-mean()-Y,SITTING,24,-0.962773200147059
fBodyAcc-mean()-Y,SITTING,25,-0.959117259384615
fBodyAcc-mean()-Y,SITTING,26,-0.954299410641026
fBodyAcc-mean()-Y,SITTING,27,-0.974057855571429
fBodyAcc-mean()-Y,SITTING,28,-0.946351650416667
fBodyAcc-mean()-Y,SITTING,29,-0.969609501666667
fBodyAcc-mean()-Y,SITTING,30,-0.954076042258064
fBodyAcc-mean()-Y,STANDING,1,-0.977070847735849
fBodyAcc-mean()-Y,STANDING,2,-0.959871697407407
fBodyAcc-mean()-Y,STANDING,3,-0.908075353770492
fBodyAcc-mean()-Y,STANDING,4,-0.889549205
fBodyAcc-mean()-Y,STANDING,5,-0.890796360535714
fBodyAcc-mean()-Y,STANDING,6,-0.930336471754386
fBodyAcc-mean()-Y,STANDING,7,-0.941883783773585
fBodyAcc-mean()-Y,STANDING,8,-0.9500491
fBodyAcc-mean()-Y,STANDING,9,-0.944849431777778
fBodyAcc-mean()-Y,STANDING,10,-0.923378745227273
fBodyAcc-mean()-Y,STANDING,11,-0.968703072553191
fBodyAcc-mean()-Y,STANDING,12,-0.932775677704918
fBodyAcc-mean()-Y,STANDING,13,-0.959427618245614
fBodyAcc-mean()-Y,STANDING,14,-0.942178248333333
fBodyAcc-mean()-Y,STANDING,15,-0.943348788679245
fBodyAcc-mean()-Y,STANDING,16,-0.96931401525641
fBodyAcc-mean()-Y,STANDING,17,-0.97417056948718
fBodyAcc-mean()-Y,STANDING,18,-0.961239135479452
fBodyAcc-mean()-Y,STANDING,19,-0.952872872465753
fBodyAcc-mean()-Y,STANDING,20,-0.898194212465753
fBodyAcc-mean()-Y,STANDING,21,-0.949694904269663
fBodyAcc-mean()-Y,STANDING,22,-0.929161387619048
fBodyAcc-mean()-Y,STANDING,23,-0.962831825294118
fBodyAcc-mean()-Y,STANDING,24,-0.948970158405797
fBodyAcc-mean()-Y,STANDING,25,-0.959846189054054
fBodyAcc-mean()-Y,STANDING,26,-0.958402317837838
fBodyAcc-mean()-Y,STANDING,27,-0.961356141125
fBodyAcc-mean()-Y,STANDING,28,-0.893430392658228
fBodyAcc-mean()-Y,STANDING,29,-0.973345770461538
fBodyAcc-mean()-Y,STANDING,30,-0.919475121186441
fBodyAcc-mean()-Y,WALKING,1,0.0897127264021053
fBodyAcc-mean()-Y,WALKING,2,-0.0219048103322034
fBodyAcc-mean()-Y,WALKING,3,-0.0813024353275862
fBodyAcc-mean()-Y,WALKING,4,-0.14939963344
fBodyAcc-mean()-Y,WALKING,5,0.00946037755178572
fBodyAcc-mean()-Y,WALKING,6,0.140781621991228
fBodyAcc-mean()-Y,WALKING,7,-0.0641564202736842
fBodyAcc-mean()-Y,WALKING,8,0.316982393333333
fBodyAcc-mean()-Y,WALKING,9,-0.257677616153846
fBodyAcc-mean()-Y,WALKING,10,0.0533911909886792
fBodyAcc-mean()-Y,WALKING,11,-0.0830478435976271
fBodyAcc-mean()-Y,WALKING,12,-0.071302455092
fBodyAcc-mean()-Y,WALKING,13,0.0955150666694737
fBodyAcc-mean()-Y,WALKING,14,-0.174601844847458
fBodyAcc-mean()-Y,WALKING,15,0.111321097159074
fBodyAcc-mean()-Y,WALKING,16,-0.321500667843137
fBodyAcc-mean()-Y,WALKING,17,-0.065026762212623
fBodyAcc-mean()-Y,WALKING,18,-0.24360627125
fBodyAcc-mean()-Y,WALKING,19,0.169258575663077
fBodyAcc-mean()-Y,WALKING,20,0.403465950921569
fBodyAcc-mean()-Y,WALKING,21,0.0338465813711538
fBodyAcc-mean()-Y,WALKING,22,0.145367520371739
fBodyAcc-mean()-Y,WALKING,23,-0.0724367317966102
fBodyAcc-mean()-Y,WALKING,24,-0.203193741396552
fBodyAcc-mean()-Y,WALKING,25,-0.251880271094595
fBodyAcc-mean()-Y,WALKING,26,-0.146702156576271
fBodyAcc-mean()-Y,WALKING,27,-0.13678354122807
fBodyAcc-mean()-Y,WALKING,28,-0.127912276044444
fBodyAcc-mean()-Y,WALKING,29,-0.0349642325433962
fBodyAcc-mean()-Y,WALKING,30,-0.193856663907692
fBodyAcc-mean()-Y,WALKING_DOWNSTAIRS,1,0.00154990783591837
fBodyAcc-mean()-Y,WALKING_DOWNSTAIRS,2,0.278345041765957
fBodyAcc-mean()-Y,WALKING_DOWNSTAIRS,3,-0.00770048300204082
fBodyAcc-mean()-Y,WALKING_DOWNSTAIRS,4,-0.129606639466667
fBodyAcc-mean()-Y,WALKING_DOWNSTAIRS,5,0.0792280694042553
fBodyAcc-mean()-Y,WALKING_DOWNSTAIRS,6,0.339771173822917
fBodyAcc-mean()-Y,WALKING_DOWNSTAIRS,7,-0.145302311446809
fBodyAcc-mean()-Y,WALKING_DOWNSTAIRS,8,0.388412779763158
fBodyAcc-mean()-Y,WALKING_DOWNSTAIRS,9,-0.183120455428571
fBodyAcc-mean()-Y,WALKING_DOWNSTAIRS,10,0.00904660360263158
fBodyAcc-mean()-Y,WALKING_DOWNSTAIRS,11,0.0247508134326087
fBodyAcc-mean()-Y,WALKING_DOWNSTAIRS,12,0.150510001156522
fBodyAcc-mean()-Y,WALKING_DOWNSTAIRS,13,-0.0364535247659574
fBodyAcc-mean()-Y,WALKING_DOWNSTAIRS,14,0.3714824704
fBodyAcc-mean()-Y,WALKING_DOWNSTAIRS,15,0.167518099964286
fBodyAcc-mean()-Y,WALKING_DOWNSTAIRS,16,-0.134598352726809
fBodyAcc-mean()-Y,WALKING_DOWNSTAIRS,17,-0.130272514565217
fBodyAcc-mean()-Y,WALKING_DOWNSTAIRS,18,-0.309049613818182
fBodyAcc-mean()-Y,WALKING_DOWNSTAIRS,19,0.494457802230769
fBodyAcc-mean()-Y,WALKING_DOWNSTAIRS,20,0.524187686888889
fBodyAcc-mean()-Y,WALKING_DOWNSTAIRS,21,0.181138042506667
fBodyAcc-mean()-Y,WALKING_DOWNSTAIRS,22,0.225766560777778
fBodyAcc-mean()-Y,WALKING_DOWNSTAIRS,23,0.0959432893981482
fBodyAcc-mean()-Y,WALKING_DOWNSTAIRS,24,-0.0861829752472727
fBodyAcc-mean()-Y,WALKING_DOWNSTAIRS,25,-0.196381053741379
fBodyAcc-mean()-Y,WALKING_DOWNSTAIRS,26,-0.006237000044
fBodyAcc-mean()-Y,WALKING_DOWNSTAIRS,27,-0.0626729573068182
fBodyAcc-mean()-Y,WALKING_DOWNSTAIRS,28,0.186441733869565
fBodyAcc-mean()-Y,WALKING_DOWNSTAIRS,29,-0.02122937175
fBodyAcc-mean()-Y,WALKING_DOWNSTAIRS,30,-0.0216637054241935
fBodyAcc-mean()-Y,WALKING_UPSTAIRS,1,-0.190976720811321
fBodyAcc-mean()-Y,WALKING_UPSTAIRS,2,0.00992445881854167
fBodyAcc-mean()-Y,WALKING_UPSTAIRS,3,-0.0788094156644068
fBodyAcc-mean()-Y,WALKING_UPSTAIRS,4,-0.117109161492308
fBodyAcc-mean()-Y,WALKING_UPSTAIRS,5,0.0728903158085106
fBodyAcc-mean()-Y,WALKING_UPSTAIRS,6,0.0978035099588235
fBodyAcc-mean()-Y,WALKING_UPSTAIRS,7,-0.381590523137255
fBodyAcc-mean()-Y,WALKING_UPSTAIRS,8,0.263431399878049
fBodyAcc-mean()-Y,WALKING_UPSTAIRS,9,-0.405022798163265
fBodyAcc-mean()-Y,WALKING_UPSTAIRS,10,-0.0390688222212766
fBodyAcc-mean()-Y,WALKING_UPSTAIRS,11,-0.254645206944444
fBodyAcc-mean()-Y,WALKING_UPSTAIRS,12,-0.168341519859615
fBodyAcc-mean()-Y,WALKING_UPSTAIRS,13,-0.0636564765818182
fBodyAcc-mean()-Y,WALKING_UPSTAIRS,14,0.0163939234574074
fBodyAcc-mean()-Y,WALKING_UPSTAIRS,15,-0.1019354328
fBodyAcc-mean()-Y,WALKING_UPSTAIRS,16,-0.268063812745098
fBodyAcc-mean()-Y,WALKING_UPSTAIRS,17,-0.1175197356
fBodyAcc-mean()-Y,WALKING_UPSTAIRS,18,-0.363450742586207
fBodyAcc-mean()-Y,WALKING_UPSTAIRS,19,0.111818164225
fBodyAcc-mean()-Y,WALKING_UPSTAIRS,20,-0.0293832440223529
fBodyAcc-mean()-Y,WALKING_UPSTAIRS,21,0.0221598658106383
fBodyAcc-mean()-Y,WALKING_UPSTAIRS,22,0.13068653882619
fBodyAcc-mean()-Y,WALKING_UPSTAIRS,23,-0.0769773944803922
fBodyAcc-mean()-Y,WALKING_UPSTAIRS,24,-0.252412541966102
fBodyAcc-mean()-Y,WALKING_UPSTAIRS,25,-0.380150805384615
fBodyAcc-mean()-Y,WALKING_UPSTAIRS,26,-0.185528313272727
fBodyAcc-mean()-Y,WALKING_UPSTAIRS,27,-0.249688517843137
fBodyAcc-mean()-Y,WALKING_UPSTAIRS,28,-0.190589069119608
fBodyAcc-mean()-Y,WALKING_UPSTAIRS,29,-0.196011503540816
fBodyAcc-mean()-Y,WALKING_UPSTAIRS,30,-0.297813768569231
fBodyAcc-mean()-Z,LAYING,1,-0.8826668762
fBodyAcc-mean()-Z,LAYING,2,-0.984380981875
fBodyAcc-mean()-Z,LAYING,3,-0.968332141612903
fBodyAcc-mean()-Z,LAYING,4,-0.967504278888889
fBodyAcc-mean()-Z,LAYING,5,-0.977007724615385
fBodyAcc-mean()-Z,LAYING,6,-0.938044912280702
fBodyAcc-mean()-Z,LAYING,7,-0.958611644615385
fBodyAcc-mean()-Z,LAYING,8,-0.944269514074074
fBodyAcc-mean()-Z,LAYING,9,-0.9459190006
fBodyAcc-mean()-Z,LAYING,10,-0.964300845172414
fBodyAcc-mean()-Z,LAYING,11,-0.973576812807018
fBodyAcc-mean()-Z,LAYING,12,-0.954724801666667
fBodyAcc-mean()-Z,LAYING,13,-0.966295582741935
fBodyAcc-mean()-Z,LAYING,14,-0.927882307058823
fBodyAcc-mean()-Z,LAYING,15,-0.95156594625
fBodyAcc-mean()-Z,LAYING,16,-0.974580069142857
fBodyAcc-mean()-Z,LAYING,17,-0.965406091549296
fBodyAcc-mean()-Z,LAYING,18,-0.988606906307692
fBodyAcc-mean()-Z,LAYING,19,-0.985340447349398
fBodyAcc-mean()-Z,LAYING,20,-0.976392651323529
fBodyAcc-mean()-Z,LAYING,21,-0.961772190555556
fBodyAcc-mean()-Z,LAYING,22,-0.954219235555555
fBodyAcc-mean()-Z,LAYING,23,-0.977515213888889
fBodyAcc-mean()-Z,LAYING,24,-0.976634815694444
fBodyAcc-mean()-Z,LAYING,25,-0.816197953561644
fBodyAcc-mean()-Z,LAYING,26,-0.984923123552632
fBodyAcc-mean()-Z,LAYING,27,-0.987356589864865
fBodyAcc-mean()-Z,LAYING,28,-0.961115672375
fBodyAcc-mean()-Z,LAYING,29,-0.989473926666667
fBodyAcc-mean()-Z,LAYING,30,-0.970321991714286
fBodyAcc-mean()-Z,SITTING,1,-0.959184889148936
fBodyAcc-mean()-Z,SITTING,2,-0.970162172608696
fBodyAcc-mean()-Z,SITTING,3,-0.917987925384615
fBodyAcc-mean()-Z,SITTING,4,-0.9517837432
fBodyAcc-mean()-Z,SITTING,5,-0.946064216818182
fBodyAcc-mean()-Z,SITTING,6,-0.935798115272727
fBodyAcc-mean()-Z,SITTING,7,-0.904675337916667
fBodyAcc-mean()-Z,SITTING,8,-0.959436275869565
fBodyAcc-mean()-Z,SITTING,9,-0.8922013438
fBodyAcc-mean()-Z,SITTING,10,-0.97464465462963
fBodyAcc-mean()-Z,SITTING,11,-0.972855110377358
fBodyAcc-mean()-Z,SITTING,12,-0.954626628823529
fBodyAcc-mean()-Z,SITTING,13,-0.956183063510204
fBodyAcc-mean()-Z,SITTING,14,-0.944126078888889
fBodyAcc-mean()-Z,SITTING,15,-0.963227004915254
fBodyAcc-mean()-Z,SITTING,16,-0.959552230434783
fBodyAcc-mean()-Z,SITTING,17,-0.97484160453125
fBodyAcc-mean()-Z,SITTING,18,-0.982996441403509
fBodyAcc-mean()-Z,SITTING,19,-0.96633509109589
fBodyAcc-mean()-Z,SITTING,20,-0.947597457121212
fBodyAcc-mean()-Z,SITTING,21,-0.970859342941177
fBodyAcc-mean()-Z,SITTING,22,-0.946635312419355
fBodyAcc-mean()-Z,SITTING,23,-0.942031166764706
fBodyAcc-mean()-Z,SITTING,24,-0.966991781176471
fBodyAcc-mean()-Z,SITTING,25,-0.974776131230769
fBodyAcc-mean()-Z,SITTING,26,-0.967519149358974
fBodyAcc-mean()-Z,SITTING,27,-0.974665817
fBodyAcc-mean()-Z,SITTING,28,-0.952226786666667
fBodyAcc-mean()-Z,SITTING,29,-0.975623030833333
